full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026
Justin Jefferson,WR,MIN,11.0,6.0,15.43,201.5,11.8529411764706,17.0,0.311699293210356,0.941764705882353,185.89751188323945,WR_lgbm,0,2.6816146451914005,0,veteran,135.8305514016934,50.06696048154603,24.0,11.0,-13.0,False,201.5000000000002,False
Trevor Lawrence,QB,JAX,93.0,12.0,20.38,350.18,20.5988235294118,17.0,0.0,0.968888888888889,262.67537670009426,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,49.866288127044896,25.0,93.0,68.0,False,350.1800000000006,False
George Pickens,WR,DAL,17.0,9.0,14.58,291.9,17.1705882352941,17.0,0.248133401335081,0.811176470588235,184.18732176094343,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,48.35677035925002,26.0,17.0,-9.0,False,291.8999999999997,False
DeVonta Smith,WR,PHI,46.0,22.0,11.81,201.8,11.8705882352941,17.0,0.287545842767607,0.848333333333333,184.14278122339076,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,48.31222982169734,27.0,46.0,19.0,False,201.7999999999997,False
Alec Pierce,WR,IND,77.0,35.0,10.64,183.3,12.22,15.0,0.211442776766847,0.859333333333333,183.31730256213723,WR_lgbm,0,-5.206003754852174,0,veteran,135.8305514016934,47.486751160443816,28.0,77.0,49.0,False,207.74,False
CeeDee Lamb,WR,DAL,10.0,5.0,15.81,200.9,15.4538461538462,13.0,0.275107217593104,0.728571428571429,182.07489765038704,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,46.24434624869363,29.0,10.0,-19.0,False,262.7153846153854,False
A.J. Brown,WR,NE,22.0,11.0,14.13,220.3,14.6866666666667,15.0,0.323330235871773,0.9125,181.08343120388332,WR_lgbm,1,-5.244402479179989,1,veteran,135.8305514016934,45.25287980218991,30.0,22.0,-8.0,False,249.6733333333339,True
Nico Collins,WR,HOU,32.0,14.0,13.13,226.2,15.08,15.0,0.265765564484352,0.75875,180.16356629702264,WR_lgbm,0,-2.5050011258412974,0,veteran,135.8305514016934,44.33301489532923,31.0,32.0,1.0,False,256.36,False
Brock Bowers,TE,LV,18.0,2.0,14.0,176.2,14.6833333333333,12.0,0.254632941939167,0.859166666666667,178.91114627911853,TE_gbm,1,-2.3156060854344385,0,veteran,137.2432429488599,41.66790333025864,32.0,18.0,-14.0,False,249.6166666666661,False
D'Andre Swift,RB,CHI,78.0,27.0,11.43,228.6,14.2875,16.0,0.124359186608794,0.576666666666667,195.69248817027088,RB_ridge,1,-4.79011169771107,0,veteran,156.1167596867138,39.57572848355707,33.0,78.0,45.0,False,242.8875,False
Michael Wilson,WR,ARI,63.0,30.0,11.13,220.6,12.9764705882353,17.0,0.24997314429191,0.813529411764706,174.81634404429818,WR_lgbm,0,-4.450844670721244,0,veteran,135.8305514016934,38.985792642604764,34.0,63.0,29.0,False,220.60000000000008,False
Saquon Barkley,RB,PHI,39.0,16.0,13.22,232.3,14.51875,16.0,0.16091123256185,0.787058823529412,194.43216036686283,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,38.315400680149025,35.0,39.0,4.0,False,246.81875000000002,False
Jameson Williams,WR,DET,43.0,20.0,12.02,219.9,12.9352941176471,17.0,0.224115993914463,0.901764705882353,173.88723262081513,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,38.056681219121714,36.0,43.0,7.0,False,219.9000000000007,False
Jalen Hurts,QB,PHI,50.0,3.0,21.9,305.06,19.06625,16.0,0.0,0.977647058823529,250.58885980755488,QB_ridge,1,-2.3156060854344385,0,veteran,212.80908857304937,37.77977123450552,37.0,50.0,13.0,False,324.12625,False
Courtland Sutton,WR,DEN,99.0,47.0,9.91,219.7,12.9235294117647,17.0,0.231094813204968,0.857368421052632,169.63209156839872,WR_lgbm,0,1.6623237357923664,0,veteran,135.8305514016934,33.80154016670531,38.0,99.0,61.0,False,219.6999999999999,False
Tyler Warren,TE,IND,29.0,3.0,12.94,188.5,11.0882352941176,17.0,0.230508024451282,0.838235294117647,170.64118352413544,TE_gbm,0,-5.206003754852174,0,veteran,137.2432429488599,33.397940575275555,39.0,29.0,-10.0,False,188.4999999999992,False
Breece Hall,RB,NYJ,36.0,15.0,13.4,207.66,12.97875,16.0,0.132905652686942,0.64375,189.33577924096525,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,33.219019554251446,40.0,36.0,-4.0,False,220.63875,False
Patrick Mahomes,QB,KC,65.0,5.0,21.36,296.68,21.1914285714286,14.0,0.0344827586206897,0.974285714285714,246.0084334194874,QB_ridge,0,5.300602599522808,0,veteran,212.80908857304937,33.19934484643804,41.0,65.0,24.0,False,360.2542857142862,False
Garrett Wilson,WR,NYJ,37.0,16.0,12.57,99.5,14.2142857142857,7.0,0.35923072533242,0.87,167.3778325554861,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,31.54728115379268,42.0,37.0,-5.0,True,241.64285714285688,False
Chase Brown,RB,CIN,23.0,10.0,14.83,282.6,16.6235294117647,17.0,0.175251192607101,,186.5285532164448,RB_ridge,0,10.0828731123803,0,veteran,156.1167596867138,30.411793529731,43.0,23.0,-20.0,False,282.5999999999999,False
